Judul,Penulis,Harga,Review,Rating,Link Gambar
Atomic Habits,James Clear,Rp125.000,Buku ini memberikan pendekatan praktis dalam mengubah kebiasaan buruk menjadi kebiasaan produktif. Mudah dipahami dan sangat aplikatif.,4.9,"https://images-na.ssl-images-amazon.com/images/I/91bYsX41DVL.jpg"
The Power of Now,Eckhart Tolle,Rp110.000,Mengajak kita untuk hidup di masa kini dengan penuh kesadaran. Buku ini sangat dalam dan reflektif.,4.8,"https://media.karousell.com/media/photos/products/2022/8/22/the_power_of_now__a_guide_of_s_1661177181_17973c81.jpg"
Deep Work,Cal Newport,Rp135.000,Panduan penting untuk bekerja fokus di era yang penuh distraksi digital. Cocok untuk siapa saja yang ingin produktif.,4.7,"https://impartiallyderivative.com/wp-content/uploads/2018/10/DeepWork-6.jpg"
The 7 Habits of Highly Effective People,Stephen R. Covey,Rp120.000,Klasik sepanjang masa. Mengajarkan prinsip-prinsip dasar untuk menjadi pribadi yang efektif dalam kehidupan pribadi maupun profesional.,4.9,"https://img.drz.lazcdn.com/static/pk/p/7a1ca0c15aed51a56334f033cb9cb961.jpg_720x720q80.jpg"
Think and Grow Rich,Napoleon Hill,Rp115.000,Buku motivasi legendaris yang membakar semangat sukses dan membentuk pola pikir untuk bertumbuh.,4.8,"https://hlbookstore.in/wp-content/uploads/2022/06/Think-And-Grow-Rich-By-Napoleon-Hill-1.jpg"
Grit,Angela Duckworth,Rp130.000,Menekankan pentingnya kegigihan dan semangat pantang menyerah. Cocok untuk kamu yang sedang berjuang mencapai tujuan.,4.7,"https://i.pinimg.com/originals/89/f0/b7/89f0b74dad7af0b52071f9094a59ea84.jpg"
Mindset,Carol S. Dweck,Rp119.000,Mengubah cara pandang kita tentang kecerdasan. Menanamkan bahwa kemampuan bisa dikembangkan lewat usaha.,4.8,"https://parentotheca.com/wp-content/uploads/2020/12/IMG_9026-scaled.jpg"
Dare to Lead,Brené Brown,Rp140.000,Mendorong kepemimpinan yang berani dan penuh empati. Buku ini sangat menyentuh dan menginspirasi.,4.9,"https://images.squarespace-cdn.com/content/v1/59c82ac46f4ca30b86d179bf/1626355058421-1N61AQSEDMKGTJ7CMLV7/34.bookreview.daretolead.tpr.jpg"
Ikigai,Héctor García & Francesc Miralles,Rp100.000,Filosofi Jepang tentang hidup panjang dan bermakna. Buku ini menenangkan dan mengajak kita refleksi hidup.,4.6,"https://www.bigw.com.au/medias/sys_master/images/images/hd4/h19/14654977703966.jpg"
The Subtle Art of Not Giving a F*ck,Mark Manson,Rp128.000,Gaya bahasanya blak-blakan tapi jujur. Buku ini menantang kita untuk berpikir ulang soal makna kebahagiaan dan prioritas hidup.,4.7,"https://5.imimg.com/data5/SELLER/Default/2023/2/KU/GR/TV/147952517/mark-manson-book-500x500.jpeg"
